gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
774844234	fa375330-6c8a-11de-8226-b8a03c50a862	0a98fe8f-0db9-433e-a628-d3c9c46278a2	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-29.3833	135.2289		1.0E-4					2012-11-28T00:00:00	28	11	2012	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R67494				CC_BY_4_0		Launer, Matt;Ebs			2023-09-07T11:26:00.863Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500781886	fa375330-6c8a-11de-8226-b8a03c50a862	4af88950-4050-4968-b1ef-7196f298b42b	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-28.85	134.88		0.01					1997-09-25T00:00:00	25	9	1997	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R49883				CC_BY_4_0		Hutchinson, M.;Copley, P.;Foster, R.			2023-09-07T11:26:01.976Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500768957	fa375330-6c8a-11de-8226-b8a03c50a862	a7ec6788-7c20-453d-8b31-dc89d9366de0	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-28.7	134.87		0.01					1994-05-14T00:00:00	14	5	1994	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R44080				CC_BY_4_0		Irtschin, P. M;Ias, T. N			2023-09-07T11:26:04.422Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500766694	fa375330-6c8a-11de-8226-b8a03c50a862	30f20aa7-6a2f-4c70-8aed-c92f88b0dedc	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-25.68	140.75		0.01					1961-04-12T00:00:00	12	4	1961	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R4303				CC_BY_4_0		Arthur, R. O			2023-09-07T11:26:03.593Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500766381	fa375330-6c8a-11de-8226-b8a03c50a862	51534b48-df63-4106-9278-912dbe07a27c	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-25.68	140.75		0.01					1961-11-30T00:00:00	30	11	1961	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R4289				CC_BY_4_0		Arthur, R. O			2023-09-07T11:26:01.572Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500766293	fa375330-6c8a-11de-8226-b8a03c50a862	c019082f-ca65-4016-ba06-ff821226a37e	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-25.68	140.75		0.01					1962-05-12T00:00:00	12	5	1962	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R4285				CC_BY_4_0		Arthur, R. O			2023-09-07T11:26:03.031Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500766271	fa375330-6c8a-11de-8226-b8a03c50a862	a2ef8eb0-b683-4f59-a852-0c4df9fef629	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		Queensland	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-25.92	141.12		0.01					1961-04-13T00:00:00	13	4	1961	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R4284				CC_BY_4_0		Arthur, R. O			2023-09-07T11:26:02.688Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500765437	fa375330-6c8a-11de-8226-b8a03c50a862	1fecb04b-0137-4a3b-a8f5-088138622f32	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-28.95	134.78		0.01					1993-10-28T00:00:00	28	10	1993	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R42484				CC_BY_4_0		Brandle, R.;Npws			2023-09-07T11:26:01.346Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500762334	fa375330-6c8a-11de-8226-b8a03c50a862	d1dd7c22-3fe8-45f8-8431-732d44e4c5ae	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-29.02	134.75		0.01					1993-01-04T00:00:00	4	1	1993	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R40985				CC_BY_4_0					2023-09-07T11:26:02.703Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500761157	fa375330-6c8a-11de-8226-b8a03c50a862	83e735e8-1083-422b-bfb8-6eca15554000	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-28.55	134.92		0.01					1992-08-26T00:00:00	26	8	1992	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R40464				CC_BY_4_0		Hutchinson, M.;Anzses			2023-09-07T11:26:03.876Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500753602	fa375330-6c8a-11de-8226-b8a03c50a862	f2e07b2f-c91e-4e5f-8c29-c4e6c9d9e558	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.55	139.17		0.01					1980-01-01T00:00:00			1980	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R35074				CC_BY_4_0		Mirtschin, P			2023-09-07T11:26:03.081Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500744365	fa375330-6c8a-11de-8226-b8a03c50a862	e358554a-e870-4d7d-a2b2-35d936e55dca	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.82	139.02		0.01					1980-04-06T00:00:00	6	4	1980	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R27025				CC_BY_4_0		Mirtschin, P			2023-09-07T11:26:04.337Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500744323	fa375330-6c8a-11de-8226-b8a03c50a862	7660a6d7-eb89-4afb-92d9-b759bac6f1f8	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.55	139.17		0.01					1981-03-28T00:00:00	28	3	1981	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R26942				CC_BY_4_0		Mirtschin, P			2023-09-07T11:26:04.201Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500738113	fa375330-6c8a-11de-8226-b8a03c50a862	9dbd614a-3366-4af8-8257-8a033cb91c98	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.82	139.02		0.01					1980-04-06T00:00:00	6	4	1980	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R24128				CC_BY_4_0		Mirtschin, P			2023-09-07T11:26:02.838Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500730661	fa375330-6c8a-11de-8226-b8a03c50a862	c0b9f498-0558-47fc-b171-493b12f13372	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.77	139.13		0.01					1981-04-30T00:00:00	30	4	1981	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R20583				CC_BY_4_0					2023-09-07T11:26:02.942Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500727655	fa375330-6c8a-11de-8226-b8a03c50a862	170e9731-a3f4-494c-b4c9-240670554786	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-27.98	140.35		0.01					1980-09-09T00:00:00	9	9	1980	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R19201				CC_BY_4_0					2023-09-07T11:26:01.160Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500719254	fa375330-6c8a-11de-8226-b8a03c50a862	425f1e0e-b02f-4f89-9441-c1dbd4285cbc	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.78	139.55		0.01					1975-08-01T00:00:00	1	8	1975	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R14851.B				CC_BY_4_0		Turner, A. K			2023-09-07T11:26:03.974Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500719253	fa375330-6c8a-11de-8226-b8a03c50a862	600b8b70-2560-4680-8636-dbcee109bf01	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.78	139.55		0.01					1975-08-01T00:00:00	1	8	1975	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R14851.A				CC_BY_4_0		Turner, A. K			2023-09-07T11:26:03.734Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500718975	fa375330-6c8a-11de-8226-b8a03c50a862	e5d7bbcd-bc45-4a34-bd8e-ce9ed0df8c35	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.03	139.32		0.01					1972-09-27T00:00:00	27	9	1972	2449963	2449963	PRESERVED_SPECIMEN	SAMA	Herpetology	R14649				CC_BY_4_0		Mincham, H			2023-09-07T11:26:04.675Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4413689313	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183823280	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus		AU		Queensland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-23.71601	140.960902	160483.0						1996-06-29T13:10:00	29	6	1996	2449963	2449963	HUMAN_OBSERVATION	iNaturalist	Observations	183823280		boofboat	2023-09-18T10:02:44	CC_BY_NC_4_0	boofboat	boofboat			2023-11-08T06:39:26.321Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4138680630	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/169769875	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus		AU		Queensland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-25.422041	141.606226	1000.0						2015-12-15T10:26:00	15	12	2015	2449963	2449963	HUMAN_OBSERVATION	iNaturalist	Observations	169769875		David Williams	2023-06-27T14:09:07	CC_BY_NC_4_0	David Williams	David Williams			2023-11-08T07:05:06.076Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3999627354	40c0f670-ee87-4576-be9d-2725e0b47035	1e8249e7-4381-49d8-905a-9d27ae22cb8f	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU		South Australia	PRESENT	1	4c46f883-69c1-42ac-8a20-4cdba2afb9a6	-28.73266	134.95271	5.0						2022-03-13T00:00:00	13	3	2022	2449963	2449963	HUMAN_OBSERVATION			OPR1090103-1				CC_BY_4_0		Kent, H. Harrison		Native	2023-11-09T13:04:07.287Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3780318770	e4473544-f4cd-4429-b791-39d6e1fdb0a4	fb9c7cfc-a48a-4e9b-ba03-c089dda45b0f	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Diamantina NP, approximately 350km NNW of Windorah	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-23.901196	141.213462	300.0	1.0E-5					2007-05-24T00:00:00	24	5	2007	2449963	2449963	MACHINE_OBSERVATION		Incidental Records					CC_BY_4_0	Queensland Government				2023-08-26T06:57:07.880Z		CONTINENT_DERIVED_FROM_COORDINATES
3780264022	e4473544-f4cd-4429-b791-39d6e1fdb0a4	e5cab6c3-8a5a-4034-b310-b553264f9ad4	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Astrebla Downs National Park	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-24.184933	140.615766	100.0	1.0E-5					2005-09-03T00:00:00	3	9	2005	2449963	2449963	HUMAN_OBSERVATION		Incidental Records					CC_BY_4_0	Queensland Government				2023-08-26T06:57:06.251Z		CONTINENT_DERIVED_FROM_COORDINATES
3780158995	e4473544-f4cd-4429-b791-39d6e1fdb0a4	ddfe7522-a2dd-440e-ae85-e22f7eae8dc0	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Eyre Development Road, CWQ.	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-25.367	139.4696	500.0	1.0E-5					1991-09-14T00:00:00	14	9	1991	2449963	2449963	HUMAN_OBSERVATION		Rod Hobson's wildlife data					CC_BY_4_0	Queensland Government				2023-08-26T06:57:05.031Z		CONTINENT_DERIVED_FROM_COORDINATES
3780105087	e4473544-f4cd-4429-b791-39d6e1fdb0a4	b1b83e2a-d4d7-4f7c-b649-6a38c2b63f0e	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	approx 500m w of gordonmaag site, Astrebla Downs National Park	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-24.050701	140.446576	999.0	1.0E-5					1998-10-16T00:00:00	16	10	1998	2449963	2449963	OCCURRENCE		Peter McRae Data					CC_BY_4_0	Queensland Government				2023-08-26T06:57:38.988Z		CONTINENT_DERIVED_FROM_COORDINATES
3779958603	e4473544-f4cd-4429-b791-39d6e1fdb0a4	9bcd1b5e-884c-46bf-abf0-1baad9ef04bf	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Windorah area	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-25.415139	142.667866	5400.0	1.0E-5					1975-01-01T00:00:00	1	1	1975	2449963	2449963	HUMAN_OBSERVATION		Queensland Historical Fauna Database					CC_BY_4_0	Queensland Government				2023-08-26T06:57:36.259Z		CONTINENT_DERIVED_FROM_COORDINATES
3779868052	e4473544-f4cd-4429-b791-39d6e1fdb0a4	748a23bd-44d9-425d-9bf9-0fd2bd283e01	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Diamantina National Park	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-24.164096	141.124038	100.0	1.0E-5					2007-11-12T00:00:00	12	11	2007	2449963	2449963	HUMAN_OBSERVATION		Ecological Assessment Unit					CC_BY_4_0	Queensland Government				2023-08-26T06:57:00.197Z		CONTINENT_DERIVED_FROM_COORDINATES
3779799699	e4473544-f4cd-4429-b791-39d6e1fdb0a4	4e839f00-38cc-4aea-b6cd-a5d82bf8ee02	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Nimoi, Astrebla Downs National Park	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-24.112648	140.609821	100.0	1.0E-5					2015-04-14T00:00:00	14	4	2015	2449963	2449963	MACHINE_OBSERVATION		Ecological Assessment					CC_BY_4_0	Queensland Government				2023-08-26T06:57:34.127Z		CONTINENT_DERIVED_FROM_COORDINATES
3779716562	e4473544-f4cd-4429-b791-39d6e1fdb0a4	42921763-c6d6-4bae-b724-04975152c554	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	Diamantina National Park	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-23.776154	141.204669	100.0	1.0E-5					2007-10-11T00:00:00	11	10	2007	2449963	2449963	HUMAN_OBSERVATION		Ecological Assessment Unit					CC_BY_4_0	Queensland Government				2023-08-26T06:56:47.063Z		CONTINENT_DERIVED_FROM_COORDINATES
3779582676	e4473544-f4cd-4429-b791-39d6e1fdb0a4	11bf09cc-8bcf-482d-a9fe-3f6d452c2dbe	Animalia	Chordata	Squamata		Elapidae	Oxyuranus	Oxyuranus microlepidotus		SPECIES	Oxyuranus microlepidotus (Mccoy, 1879)	Oxyuranus microlepidotus	(McCoy, 1879)	AU	South of Kings Creek Bedourie	Queensland	PRESENT		96835ce2-d3af-4f6e-af81-faa0c7576fa4	-24.356	139.637167	100.0	1.0E-5					2001-08-22T00:00:00	22	8	2001	2449963	2449963	HUMAN_OBSERVATION		Incidental Records					CC_BY_4_0	Queensland Government				2023-08-26T06:56:38.824Z		CONTINENT_DERIVED_FROM_COORDINATES
